6001|5001|2001|3001|10|11-11-2025|1001|1003|1004|Approved
6002|5002|2002|3002|99|09-09-2025|1001|1006|1004|Pending
6003|5003|2003|3003|12|01-01-2025|1001|1006|1007|Pending
6004|5004|2004|3004|123|01-01-2025|1001|1003|1004|Pending
6005|5005|2005|3005|100|09-09-2025|1001|1006|1004|Pending
6006|5100|2100|3100|100|09-09-2025|1005|1011|1009|Approved
6008|5001|2001|3001|100|09-09-2025|1001|1011|1004|Pending
6009|5007|2007|3007|100|09-09-2025|1001|1006|1008|Approved
6010|5006|2006|3006|100|09-09-2025|1001|1010|1004|Approved
6011|5011|2011|3011|100|09-09-2025|1001|1011|1009|Rejected
6012|5100|2100|3100|100|09-09-2025|1005|1006|1009|Approved
6013|5222|2222|3222|100|10-10-2025|1005|1011|1007|Approved
6014|5100|2100|3100|100|10-10-2025|1001|1011|1004|Rejected
